30 150
21 6 33
24 27 57
20 26 47
11 3 63
0 0 67
7 24 95
2 29 2
2 7 44
14 18 87
23 24 87
18 28 69
20 25 20
7 18 45
1 10 6
18 19 7
16 27 26
8 14 34
5 14 61
8 0 14
19 2 70
28 18 16
29 9 33
6 18 24
25 26 61
26 29 2
4 12 83
0 17 30
2 23 64
3 27 86
2 10 23
15 17 72
14 25 96
2 1 93
13 15 77
27 28 13
15 26 6
20 2 15
8 19 64
18 6 40
23 23 77
11 2 37
27 19 47
25 15 95
29 20 34
17 25 90
24 22 13
23 7 23
14 10 29
29 9 80
12 3 97
10 11 29
27 21 37
22 23 7
15 1 43
21 27 58
20 9 61
26 14 54
10 7 13
8 22 53
19 25 42
6 21 69
27 16 72
10 13 90
16 16 29
27 14 19
5 10 48
16 6 64
10 10 66
11 17 87
12 16 45
24 28 66
25 26 49
13 6 67
16 16 88
0 23 19
12 19 66
26 1 15
8 5 90
17 14 46
7 10 56
1 20 62
16 18 15
7 4 67
6 3 29
21 21 64
18 7 2
19 27 3
2 12 80
11 0 1
5 17 99
10 23 24
19 3 77
15 14 80
29 27 60
17 9 2
4 3 75
5 29 81
12 29 42
24 17 36
23 6 96
5 26 16
28 19 41
6 28 12
26 26 67
21 5 48
1 23 45
25 29 41
6 26 16
18 3 37
15 8 8
6 15 52
20 19 73
10 16 13
16 5 54
23 1 89
10 12 95
7 15 67
3 25 76
4 10 23
25 9 57
21 6 14
3 3 87
24 16 33
1 7 81
28 4 22
29 20 81
15 28 12
21 17 4
14 7 96
9 28 25
14 13 7
13 18 69
16 9 69
29 13 82
11 16 36
14 16 16
21 23 31
18 1 61
21 25 24
23 10 91
20 24 18
2 8 40
28 7 100
2 20 100
20 5 37
17 19 3
21 24 52
11 26 88
0 24 39
28 3 10
