40 200
32 16 78
33 9 36
12 35 10
10 1 100
30 1 63
38 22 50
10 30 63
38 22 44
28 34 23
5 29 95
4 22 98
38 1 45
28 38 5
22 9 64
13 37 48
35 19 9
36 34 67
3 34 25
6 12 18
26 34 24
33 14 41
8 8 42
33 28 51
17 31 13
12 22 83
0 6 84
31 5 45
16 22 48
32 30 61
1 35 74
8 0 30
35 21 100
3 30 95
22 33 85
31 39 95
8 19 58
19 10 17
29 35 78
35 15 76
29 12 27
2 14 74
9 38 91
30 4 38
20 21 6
31 25 23
3 23 97
15 11 16
33 5 34
24 19 94
35 9 35
31 12 83
10 25 12
35 11 50
38 34 64
7 10 41
14 7 24
17 24 30
25 14 19
1 14 5
28 26 48
20 36 23
38 16 89
21 2 22
30 6 36
39 15 53
10 33 61
13 33 41
36 39 84
4 22 74
10 27 50
5 33 57
24 39 30
27 26 57
12 35 1
14 11 24
30 26 51
16 22 9
38 15 32
14 5 81
6 11 100
16 35 40
6 22 97
30 37 52
17 1 11
36 21 54
1 13 83
24 16 47
21 15 43
9 21 76
8 14 17
18 26 7
0 22 71
11 28 85
5 21 63
31 28 72
17 32 25
7 8 16
31 25 92
8 3 42
12 39 89
8 22 62
20 3 10
5 1 17
37 14 3
16 30 32
27 30 65
22 31 74
32 24 69
32 4 25
27 4 54
30 12 13
26 29 71
27 38 68
27 7 61
16 20 37
33 5 83
35 13 82
28 13 92
7 9 39
6 22 5
38 34 7
19 23 6
1 37 16
8 35 81
18 4 52
38 34 40
21 13 92
24 29 28
8 26 37
0 36 82
20 34 15
36 6 60
1 21 33
29 13 44
37 13 60
10 0 12
34 10 26
10 7 54
32 26 22
24 11 6
22 11 92
36 16 70
1 12 53
23 2 32
16 0 41
18 19 89
14 10 68
37 12 39
18 37 96
2 20 19
12 39 10
20 30 59
2 21 74
1 19 92
20 32 81
35 4 58
30 6 41
27 4 6
25 8 54
30 10 80
6 14 34
5 14 86
16 34 74
9 13 26
0 21 39
30 38 48
32 8 7
13 32 14
4 29 1
16 6 33
30 1 55
38 22 98
33 14 18
24 22 1
19 33 94
14 7 88
17 17 71
6 30 74
8 30 83
6 25 72
10 6 29
39 7 12
8 33 85
27 15 15
32 0 27
13 33 62
11 9 91
38 5 45
17 5 60
3 9 63
19 23 88
29 32 70
15 25 80
25 17 63
25 12 22
32 23 58
29 36 41
12 9 69
30 23 85
13 28 31
