500 2500
266 247 51
313 421 87
187 339 35
431 54 47
134 81 4
274 275 70
83 395 17
86 55 75
337 273 57
87 478 55
265 153 57
318 22 70
346 408 58
193 29 18
209 6 92
261 188 61
6 270 28
251 375 31
193 499 32
259 197 85
280 482 87
318 216 100
338 339 75
239 494 37
68 468 59
242 273 32
464 81 1
168 14 71
236 117 76
181 452 26
183 12 21
142 7 5
50 214 75
51 412 90
177 397 77
80 381 18
358 378 35
87 428 45
274 112 32
24 12 83
78 42 89
332 271 66
40 413 17
129 209 95
398 367 78
40 216 29
443 287 95
215 445 48
425 130 92
357 98 46
460 93 95
99 140 29
487 364 88
444 181 100
176 269 59
204 394 73
456 370 14
470 197 95
44 234 79
492 80 24
75 173 49
61 310 18
205 333 83
8 64 27
82 170 18
485 280 65
77 213 63
228 115 1
242 375 12
118 18 4
422 453 85
160 8 69
169 325 40
134 1 13
102 469 53
373 195 23
414 441 7
6 193 87
81 417 22
468 256 100
315 40 13
195 394 26
152 182 53
183 484 99
0 404 16
64 309 59
95 57 61
51 139 93
333 218 83
450 380 49
444 177 90
172 45 43
65 97 64
165 410 43
270 303 17
435 133 34
158 263 40
445 350 57
158 277 16
50 68 94
344 52 61
100 431 83
152 289 64
156 495 15
71 286 7
319 246 65
22 6 29
224 289 54
114 5 87
232 37 74
366 158 83
388 465 5
299 165 25
491 57 45
161 77 3
105 312 99
300 250 61
100 283 20
317 61 18
449 354 25
68 166 81
495 459 21
146 435 80
46 321 44
42 107 61
277 381 11
404 346 77
359 336 89
37 333 53
447 278 22
266 35 51
309 404 16
87 21 46
189 312 80
298 414 87
70 249 61
237 87 39
367 413 75
413 263 74
106 73 80
388 16 48
123 284 37
122 373 100
63 254 54
42 393 36
289 463 67
0 263 63
197 26 80
204 274 68
485 199 66
439 74 71
471 76 53
315 404 12
418 44 65
370 13 42
239 293 80
128 104 37
97 466 50
407 227 68
324 17 95
242 303 79
253 479 65
143 325 17
385 286 76
433 120 82
52 134 20
290 101 8
413 408 7
243 35 98
152 437 94
175 455 40
193 134 46
12 211 83
185 227 38
312 163 99
415 152 76
485 497 64
473 443 39
285 352 84
169 139 82
214 11 87
119 417 67
491 267 44
358 260 91
491 141 20
190 389 99
434 53 23
43 261 20
434 56 80
439 451 37
355 152 60
446 457 8
80 232 93
376 337 26
7 157 86
418 274 53
46 43 36
84 307 48
399 475 86
431 349 3
127 272 16
81 138 13
91 253 74
243 319 59
212 19 89
9 454 5
417 251 25
237 296 24
376 143 92
223 72 76
125 422 87
169 357 32
91 194 60
401 88 48
267 353 77
92 282 45
343 191 31
174 222 93
255 282 58
54 430 97
411 444 20
98 420 85
436 375 40
279 195 61
106 333 45
369 268 94
80 414 86
20 104 70
446 286 35
241 349 17
366 143 56
372 284 78
103 155 35
368 414 51
160 431 61
107 330 74
153 388 82
477 395 100
496 123 76
178 479 60
249 103 29
129 226 27
338 34 30
217 24 39
422 17 3
146 236 83
92 476 41
369 355 23
363 305 3
384 466 90
422 265 81
188 22 75
76 185 60
273 137 90
105 201 41
362 246 76
111 381 1
456 191 27
417 80 85
471 69 50
326 45 48
194 492 91
352 180 85
13 316 46
284 237 89
471 250 4
403 224 86
166 430 87
280 348 81
309 51 98
144 286 4
255 26 80
419 65 50
143 1 10
91 487 6
42 467 33
180 407 12
98 314 14
263 334 22
209 432 86
360 277 13
221 491 60
397 489 90
220 194 78
488 423 45
130 484 94
98 185 82
292 92 73
16 363 90
58 219 95
257 47 37
384 6 46
226 163 13
268 459 81
447 302 39
232 212 14
16 427 75
418 304 54
251 155 35
168 39 73
263 242 8
177 395 52
355 466 99
239 274 15
34 96 79
118 143 45
457 497 54
324 179 49
88 415 61
428 452 67
443 212 66
49 138 62
262 87 63
349 85 53
11 250 56
53 151 27
129 319 58
316 320 46
23 92 52
329 263 99
318 354 52
408 131 80
251 287 50
210 462 84
63 481 11
304 436 31
226 4 45
369 317 6
2 474 33
287 201 94
131 274 60
99 0 55
246 29 96
427 340 100
254 467 35
262 60 53
393 413 78
329 255 18
397 458 96
459 227 14
289 9 68
191 324 65
309 84 64
420 216 28
313 455 77
100 200 92
443 264 77
208 39 77
237 433 74
62 384 23
104 421 84
51 411 85
284 120 67
65 350 64
333 198 54
50 201 17
195 409 68
253 26 74
20 79 52
0 393 18
474 102 86
93 364 49
128 434 40
328 274 21
388 107 7
172 196 20
351 101 72
397 462 76
58 497 45
363 90 6
172 243 76
233 73 80
109 352 8
497 60 72
270 14 45
329 90 33
75 160 48
173 66 73
359 277 22
432 403 51
492 61 45
465 397 55
359 163 50
180 484 72
303 19 100
161 106 9
410 464 44
266 62 66
287 189 47
179 39 98
120 111 35
199 385 58
168 492 45
56 107 91
423 293 4
172 271 6
109 82 84
297 251 23
483 99 64
137 51 91
99 466 11
357 236 40
218 301 33
105 331 54
312 179 48
398 216 1
437 315 74
492 236 70
152 410 73
331 360 30
218 239 21
73 227 81
441 175 48
388 226 3
25 100 96
188 149 94
236 336 7
443 462 87
309 5 29
97 330 89
370 314 73
336 12 26
1 478 10
381 341 50
206 479 33
151 82 53
125 116 69
103 226 57
261 16 7
222 72 38
102 477 87
235 344 71
346 284 33
317 257 48
291 102 25
154 164 26
218 468 22
140 366 23
377 394 24
185 166 8
113 52 20
320 292 57
204 403 91
55 385 32
412 441 77
372 215 59
