100 200
42 45 42
17 7 9
6 18 28
24 40 82
79 23 2
29 89 53
89 22 78
45 60 75
64 16 5
86 9 44
42 64 62
83 22 6
57 50 41
10 59 13
37 66 92
3 46 86
62 61 36
88 92 67
11 65 13
72 61 23
41 71 62
95 99 6
25 38 71
86 67 9
13 83 100
41 43 65
23 7 89
91 0 91
0 40 12
13 79 21
46 8 17
86 65 92
90 70 24
81 94 96
67 19 41
51 95 21
36 57 22
75 71 52
90 5 64
64 8 57
6 25 3
88 48 53
18 3 30
13 7 87
38 38 80
93 81 37
12 90 64
25 74 31
31 92 75
66 16 36
8 11 69
61 40 1
47 62 32
89 80 35
42 54 44
92 24 80
24 61 65
82 21 75
35 51 36
73 74 38
15 80 1
76 91 83
93 34 68
33 59 61
16 28 18
93 16 79
31 45 82
99 7 93
74 45 69
79 20 73
74 85 62
69 79 94
27 86 82
39 15 26
53 93 85
88 16 66
98 38 96
14 61 23
41 3 75
18 17 64
0 82 61
66 79 5
3 53 70
29 51 89
46 26 33
2 59 71
78 0 31
72 89 19
38 79 62
22 10 100
43 50 86
98 5 59
91 48 67
72 28 82
28 78 67
51 39 37
85 89 31
99 20 23
36 36 88
43 91 43
44 66 49
77 28 68
46 66 1
33 51 42
62 23 38
54 89 85
65 26 62
33 52 13
98 97 57
59 69 89
95 17 10
34 68 61
77 25 95
10 32 30
51 0 20
53 46 93
89 51 99
51 21 81
79 42 70
17 35 61
21 78 69
47 45 22
13 70 87
78 66 62
47 94 1
25 72 42
52 33 52
47 91 4
82 15 47
29 74 94
61 60 30
19 2 58
80 42 75
80 11 14
69 66 64
34 20 30
81 1 81
66 73 89
14 21 14
28 29 72
24 81 1
96 87 4
61 39 63
80 77 56
9 20 93
32 91 18
67 91 89
96 24 68
71 82 66
35 19 6
65 85 38
97 59 6
82 23 20
87 47 23
33 58 18
35 44 74
37 1 54
74 23 95
12 50 71
38 59 72
22 1 27
30 53 65
96 21 97
51 18 95
10 13 9
19 16 19
42 13 43
4 14 44
54 24 87
55 61 28
12 3 34
22 99 66
43 19 75
86 20 86
39 30 84
92 57 84
16 76 59
6 6 22
65 48 69
7 59 88
52 91 77
46 93 59
58 29 68
6 78 96
70 91 69
72 35 4
30 66 7
45 45 17
81 23 1
66 80 82
41 1 19
49 11 12
97 80 20
36 75 51
58 63 41
30 13 43
59 28 49
28 93 96
31 9 1
7 39 68
