100 200
80 29 88
34 57 7
39 61 3
97 15 5
26 63 12
9 51 94
68 6 94
97 67 8
83 75 85
60 69 60
60 83 61
26 81 49
36 48 5
62 50 59
93 31 93
94 88 5
83 1 9
39 58 84
42 27 73
87 31 64
78 84 23
91 56 44
50 77 63
65 46 48
36 62 96
94 74 46
96 93 78
46 27 66
90 88 55
29 63 78
50 57 32
23 50 37
50 75 1
3 43 87
25 46 55
70 87 27
6 10 60
6 13 52
39 51 34
33 69 4
80 38 54
84 53 59
89 87 77
79 10 89
24 67 96
38 90 53
59 50 71
55 40 70
75 82 86
91 84 21
78 2 85
32 89 38
32 49 47
43 18 15
60 86 21
49 0 4
83 64 51
41 23 12
31 22 92
3 29 83
9 51 33
70 97 49
71 95 33
88 73 41
66 18 56
29 14 16
33 44 71
57 64 27
78 59 16
96 80 74
44 62 86
56 39 31
51 83 72
17 40 97
43 19 11
20 26 19
44 28 64
84 87 93
2 19 3
49 33 93
11 86 97
41 9 14
77 7 7
15 12 7
39 88 39
95 28 99
38 97 20
87 85 92
28 74 64
96 34 45
48 45 90
51 14 48
59 98 6
48 81 80
11 21 7
47 55 90
66 83 48
5 59 84
47 3 65
24 86 44
58 83 83
91 40 77
98 45 38
25 11 57
4 69 84
49 57 26
99 40 25
5 14 57
67 45 98
69 77 31
47 6 60
48 22 88
6 47 21
13 48 18
55 72 6
25 65 51
61 94 1
68 20 93
54 42 15
29 54 6
25 78 22
79 85 19
32 80 7
10 56 100
95 15 51
53 63 96
96 57 21
91 84 57
63 23 81
93 89 29
92 78 8
30 11 6
67 39 25
33 81 85
74 69 3
70 27 21
34 80 32
83 63 96
48 63 61
13 12 79
23 88 8
13 73 18
90 27 47
87 99 82
48 31 63
45 74 59
14 86 76
76 13 18
18 25 4
68 34 14
2 6 60
57 73 10
27 11 39
21 31 26
47 34 57
50 2 20
88 75 32
96 20 11
85 39 68
29 64 41
92 4 38
4 53 24
2 17 75
71 79 3
25 1 9
88 16 54
63 56 70
5 12 13
31 46 75
21 46 23
76 55 30
7 40 13
30 69 99
61 39 45
99 8 100
68 9 44
73 61 90
2 50 35
25 62 93
86 83 52
72 32 96
68 73 52
61 21 7
46 17 96
47 63 19
28 54 17
6 36 18
76 84 86
70 8 5
5 62 52
44 38 99
22 60 33
24 53 60
30 79 84
96 43 28
0 15 73
3 9 51
18 60 21
52 87 15
26 99 37
