500 2500
331 321 28
227 15 21
171 487 90
84 298 30
421 164 2
414 417 92
400 217 85
341 157 51
481 133 55
28 243 55
16 425 68
378 170 59
371 213 100
199 492 71
454 418 57
365 55 19
22 497 44
238 309 84
297 332 23
31 218 63
175 387 10
131 317 81
231 450 1
279 443 32
165 13 4
141 27 37
354 166 71
146 254 67
142 177 31
432 249 41
150 34 10
163 381 18
81 108 27
359 48 42
316 229 75
284 58 58
63 490 34
342 76 66
95 253 67
136 359 17
331 252 73
77 444 85
89 124 14
258 435 64
497 116 37
92 173 24
52 461 82
134 436 38
14 302 67
214 293 63
412 482 18
477 344 93
112 118 95
153 105 7
368 297 76
407 384 93
401 13 91
378 383 24
99 445 62
203 210 64
30 99 27
17 398 75
264 3 77
307 242 3
24 372 96
445 461 6
40 287 91
263 133 18
342 437 51
162 85 93
438 47 6
300 378 62
158 394 37
281 306 11
16 454 4
273 80 37
97 412 73
480 154 94
462 461 5
402 239 17
380 477 48
12 470 7
300 237 78
62 480 49
54 124 28
62 151 46
347 298 25
397 271 68
95 337 96
212 252 58
482 447 3
184 267 76
249 84 22
492 400 4
140 152 87
350 154 74
87 469 36
413 332 62
356 78 62
13 187 83
61 61 68
146 306 65
402 345 80
301 388 17
423 401 37
377 418 88
285 461 26
150 194 54
376 126 56
385 88 1
174 456 62
432 331 15
336 324 82
337 244 71
130 366 5
370 375 13
207 463 58
431 143 9
266 243 41
121 351 47
479 309 83
351 325 89
283 351 88
246 433 92
155 249 56
417 51 1
225 285 3
370 3 57
247 106 65
367 263 4
81 340 72
374 87 99
58 370 20
93 413 57
139 214 95
481 208 44
54 231 20
490 195 78
492 434 74
327 273 41
256 246 100
408 440 100
379 12 56
329 96 26
407 38 68
132 148 3
172 176 61
101 448 93
70 319 87
315 447 21
493 343 14
314 449 24
287 443 37
118 321 36
245 415 43
403 222 99
186 163 62
370 447 29
16 114 62
135 105 39
290 141 49
125 250 21
16 43 19
76 136 4
180 3 68
444 15 29
360 222 56
383 239 56
296 325 78
92 217 44
143 457 6
300 328 88
12 469 19
82 64 75
4 263 59
423 167 3
490 349 80
493 236 37
90 87 63
167 63 85
395 263 95
409 44 57
89 135 58
455 92 39
168 280 27
220 207 19
19 252 13
128 387 15
270 187 60
291 342 34
253 210 11
439 284 93
271 96 34
409 367 57
374 189 76
407 124 9
144 384 49
344 175 89
426 168 25
411 344 44
433 498 18
140 174 16
403 497 89
211 57 47
462 346 6
115 487 46
126 497 43
142 199 76
298 5 5
232 70 58
367 357 11
4 157 7
244 312 98
128 480 39
316 164 86
464 147 11
19 68 14
36 425 14
486 305 46
252 365 31
7 34 57
431 98 62
469 133 54
112 361 30
303 268 23
479 356 22
239 390 9
349 80 52
85 75 87
395 254 57
371 216 77
142 195 23
361 204 45
428 428 8
168 112 62
279 357 88
499 86 53
166 25 85
182 365 48
24 25 27
407 474 99
278 335 71
296 115 16
279 264 8
453 457 48
288 55 60
379 380 73
212 234 4
291 122 63
133 161 69
302 452 64
77 287 1
478 42 65
409 47 21
7 230 50
47 495 44
77 44 93
330 439 66
54 447 89
226 139 93
490 362 55
361 266 41
173 133 21
48 128 46
249 169 27
335 423 95
454 197 97
23 306 18
21 85 68
45 375 97
123 460 12
145 353 24
180 207 9
248 384 28
458 82 17
256 309 80
56 288 50
191 439 18
144 45 1
342 106 75
143 120 93
112 456 73
351 453 29
133 210 23
229 204 21
200 70 40
301 7 28
229 240 1
483 49 34
484 162 7
49 218 20
23 175 28
492 138 46
365 42 65
412 22 25
257 368 78
220 195 33
335 130 62
405 170 8
222 339 46
393 489 54
109 6 18
253 180 67
302 461 84
435 265 19
8 363 84
380 231 1
46 324 21
305 196 91
137 257 58
259 435 41
49 62 32
487 129 88
157 169 58
105 257 93
27 476 81
32 208 9
234 239 86
181 340 11
318 413 16
217 51 94
230 12 12
454 322 31
364 248 96
181 397 12
417 445 59
398 287 89
373 474 5
389 41 16
398 1 56
71 446 20
266 448 19
445 202 51
73 424 5
101 354 3
419 112 67
301 322 90
204 148 4
90 40 36
74 485 73
139 416 74
180 289 66
2 407 45
37 172 73
339 62 46
109 60 11
284 155 97
356 130 12
5 300 36
27 132 31
420 59 16
131 426 3
106 224 40
260 238 30
133 202 60
484 315 88
437 147 54
259 200 75
289 131 98
477 169 91
271 104 2
449 70 58
458 193 65
356 398 60
349 195 77
283 51 63
306 224 58
205 436 92
4 398 34
313 372 57
329 239 32
357 56 86
199 103 68
55 407 49
380 8 52
286 215 93
119 228 96
5 210 31
107 82 80
270 405 24
9 293 49
156 42 95
426 59 52
336 370 78
226 140 8
381 12 40
441 315 12
266 208 43
33 184 69
363 82 79
287 108 81
144 192 91
254 238 13
470 250 56
246 83 45
416 185 25
396 463 41
193 69 37
454 446 45
250 235 86
481 356 72
64 162 10
252 387 42
177 322 99
400 292 16
263 34 18
438 305 11
391 172 19
298 467 86
262 60 93
324 61 30
29 272 56
286 105 10
409 403 53
233 296 57
86 265 55
430 204 90
104 382 68
183 454 19
298 244 95
74 349 51
398 475 63
19 488 12
296 29 33
301 312 93
424 94 92
186 71 11
192 113 37
23 317 63
254 426 91
245 184 23
324 328 74
236 99 86
136 17 43
354 142 37
209 248 49
91 428 77
0 275 60
244 78 68
188 142 46
68 443 28
363 205 31
235 396 61
163 225 13
59 461 35
107 166 90
265 96 3
314 274 56
449 363 29
95 272 25
483 210 3
420 225 31
189 99 76
82 200 42
384 491 32
68 399 5
407 286 9
405 164 20
489 345 45
457 347 7
134 492 57
337 439 61
416 397 85
366 495 77
14 403 29
436 174 75
436 431 37
312 346 85
27 420 8
71 186 37
131 360 72
158 314 59
341 165 10
269 469 21
100 209 62
