1000 5000
269 337 74
819 817 7
555 763 53
704 658 4
807 990 28
163 979 70
222 536 54
206 968 49
861 45 17
728 301 75
583 575 84
643 228 67
753 940 56
536 195 55
362 624 21
773 377 15
757 791 98
444 414 27
406 514 37
467 4 86
150 407 21
739 914 57
709 892 29
226 922 47
863 112 68
219 903 66
143 300 73
503 738 76
640 554 46
476 416 36
103 735 82
938 693 67
68 96 9
295 390 54
189 517 49
886 954 78
64 885 81
549 796 8
968 328 32
992 267 48
254 731 8
956 761 21
765 958 41
531 616 18
127 750 82
560 218 5
547 167 31
343 455 74
343 465 35
503 381 69
283 624 91
198 514 9
624 33 94
643 310 79
562 748 98
72 586 76
95 628 71
772 734 90
368 910 86
685 617 11
681 63 53
493 40 39
322 408 70
957 299 12
446 288 96
901 824 14
101 641 15
331 893 97
843 798 17
960 194 81
626 570 52
514 396 85
671 964 79
134 595 82
477 240 66
409 563 33
318 473 4
208 870 100
694 552 7
266 452 47
269 826 70
542 485 84
249 436 100
798 919 27
458 559 95
302 115 99
59 835 100
339 773 27
886 451 54
66 322 26
958 373 82
608 101 57
689 531 15
584 736 98
84 818 96
593 749 69
424 880 66
303 36 57
159 782 79
473 69 96
206 411 24
783 828 22
113 629 77
165 749 81
525 195 90
469 34 51
320 854 92
391 119 37
969 203 83
969 673 59
762 999 83
151 222 40
319 519 56
257 274 4
270 644 2
864 13 71
634 885 68
795 620 97
60 608 44
243 469 96
870 341 62
21 489 36
104 974 28
550 128 45
214 909 72
63 160 3
126 119 59
179 600 83
649 114 5
547 964 19
585 296 46
437 871 71
457 812 18
147 521 77
437 853 63
726 323 100
845 464 92
387 484 81
663 919 89
797 504 46
373 466 38
805 904 2
163 950 13
783 463 18
31 467 41
122 211 14
177 250 73
600 501 56
550 424 78
409 539 53
245 899 76
499 434 92
632 98 37
297 358 90
960 937 11
281 64 88
520 310 84
886 609 62
116 711 72
105 487 14
123 555 52
188 910 67
219 198 59
856 543 73
32 139 44
602 628 48
335 779 8
465 795 96
879 39 96
911 533 82
61 622 8
252 214 5
957 839 45
170 498 34
343 725 78
750 687 53
904 299 21
5 408 11
387 30 21
201 169 16
589 997 50
788 955 12
824 739 32
464 123 41
454 930 80
164 409 62
38 228 58
486 748 98
735 849 62
741 541 37
463 698 37
979 182 27
561 154 2
190 985 89
398 475 80
771 946 87
938 50 98
623 8 22
22 460 33
471 497 78
859 86 3
454 331 38
751 984 64
314 178 65
701 335 62
697 960 37
15 729 97
266 595 94
495 149 74
293 165 40
276 519 76
170 94 37
871 742 80
340 13 44
643 499 25
62 789 98
144 561 65
751 219 90
502 957 43
487 43 7
306 964 7
902 630 23
540 396 21
88 504 42
771 258 20
712 613 70
590 121 14
407 8 28
76 466 80
210 26 29
840 418 63
290 693 3
24 750 63
790 871 2
369 91 33
922 412 68
196 656 45
498 7 31
17 609 22
727 673 86
869 477 23
363 275 51
107 938 10
91 920 26
470 493 89
766 175 22
374 520 39
256 554 15
17 392 87
534 943 74
904 693 57
727 840 68
857 729 28
222 472 78
631 765 38
747 691 40
316 513 20
611 559 91
446 529 64
94 712 35
104 753 22
236 354 25
771 868 6
21 362 6
110 715 29
233 634 3
995 197 60
17 875 51
722 512 98
277 853 35
446 218 9
327 593 52
839 784 51
926 946 93
679 967 8
157 720 38
97 579 34
970 910 17
138 886 63
956 701 57
333 253 60
235 975 52
560 898 70
562 452 48
297 422 11
443 722 76
76 668 43
603 54 48
986 127 52
892 11 46
156 868 77
400 453 34
129 296 2
392 329 27
269 717 85
199 112 86
173 912 36
754 295 50
435 998 60
757 623 98
884 991 35
319 791 32
684 346 11
73 819 81
487 700 92
322 206 7
181 836 2
690 904 100
566 71 45
334 833 11
583 517 57
126 399 38
154 944 61
504 189 59
270 594 18
487 790 38
614 589 4
544 398 69
207 249 98
929 633 59
191 397 90
680 773 87
417 526 23
953 105 24
797 114 45
673 365 25
548 305 22
542 134 76
249 358 91
400 402 74
534 386 33
512 378 87
971 499 66
358 84 6
151 814 47
553 473 23
544 463 45
885 73 7
786 794 73
21 363 19
688 125 85
203 248 21
187 910 72
602 696 72
573 862 95
485 229 30
923 901 12
843 905 51
817 368 58
160 909 95
184 835 62
880 970 96
12 14 80
378 805 20
120 420 72
822 118 16
396 119 17
898 360 2
991 331 11
287 660 26
392 936 10
417 916 15
22 7 93
39 578 46
373 719 91
623 139 30
387 175 70
777 382 21
11 972 18
760 900 88
333 230 68
497 139 40
309 906 86
186 683 72
893 355 32
483 1 14
673 200 73
984 929 68
835 435 64
252 83 51
310 579 14
614 579 87
260 96 91
437 222 91
325 536 18
327 363 4
482 257 31
300 126 1
496 328 97
666 421 50
195 542 8
376 607 31
776 789 69
63 243 44
637 866 13
633 923 95
780 679 93
855 60 81
512 75 30
411 531 59
922 589 22
165 488 57
877 989 52
528 290 17
232 121 8
764 631 84
759 87 54
78 758 97
959 157 84
210 224 86
184 275 35
997 777 50
248 541 15
708 79 80
390 203 67
52 145 8
354 687 16
258 7 1
679 719 83
529 805 17
458 924 99
469 371 88
229 214 56
605 789 25
863 626 61
576 196 25
729 238 29
692 438 21
761 465 9
913 477 72
560 576 66
891 504 13
876 395 54
863 762 23
356 224 59
906 706 41
705 169 76
226 665 94
86 563 33
175 489 73
135 421 85
679 291 29
901 423 9
243 290 42
666 219 5
118 350 56
697 801 81
498 586 47
970 277 23
997 55 55
181 37 80
852 552 2
936 533 39
198 53 94
736 165 49
359 288 60
742 190 57
178 693 44
266 604 88
136 807 62
14 500 62
814 919 15
379 243 21
366 971 96
158 292 60
921 697 5
613 996 47
322 601 12
350 654 72
763 241 67
111 885 70
764 260 89
912 804 70
18 517 30
433 359 68
279 522 8
317 160 78
912 640 28
602 444 87
870 375 27
952 545 99
371 817 58
490 143 28
669 402 28
183 706 47
143 800 59
799 0 8
279 627 53
427 790 23
968 781 60
993 74 55
809 404 65
598 438 17
3 433 63
616 329 87
164 925 22
387 932 94
247 723 53
258 733 10
720 626 84
650 479 89
906 99 72
306 583 59
362 419 42
818 844 48
699 533 66
505 923 23
254 831 78
376 67 4
949 133 46
556 76 78
58 828 58
915 466 22
841 56 89
890 941 35
667 997 38
670 212 2
971 833 92
876 413 15
315 476 39
418 129 85
483 659 89
754 788 42
895 26 13
303 96 10
890 266 91
366 110 91
508 916 15
69 881 3
60 904 79
299 585 78
813 290 32
43 973 45
957 408 90
774 847 76
676 569 90
430 910 20
867 245 19
302 113 88
877 659 90
329 4 83
907 158 35
537 915 13
801 515 70
944 483 82
963 242 72
650 250 27
115 303 39
498 586 10
209 845 4
199 811 59
657 792 5
159 70 68
895 482 27
799 942 5
781 178 18
772 888 80
521 115 89
27 823 15
68 979 76
717 504 48
92 134 98
161 284 44
751 465 91
568 934 91
465 342 84
496 21 17
920 330 31
178 221 13
