60 300
33 45 93
34 28 40
14 15 89
46 51 38
18 6 10
43 6 14
22 25 94
15 52 89
13 53 17
30 30 75
43 46 7
46 59 38
44 44 7
8 2 87
36 39 87
35 8 9
4 3 55
26 56 88
18 49 52
53 4 58
58 18 2
11 14 16
14 1 94
50 10 58
9 46 35
18 2 41
58 14 100
9 3 94
49 5 96
12 47 84
32 22 25
20 38 61
9 30 87
12 3 92
54 27 50
58 25 40
43 7 72
31 10 88
13 47 23
16 26 76
34 10 13
29 49 73
18 24 6
45 4 56
31 22 31
33 59 16
45 32 47
31 37 42
2 43 6
4 31 41
14 13 69
12 15 17
46 48 13
26 36 73
29 19 92
41 33 44
25 39 62
57 59 15
8 52 56
22 51 23
28 9 19
23 49 51
13 16 53
30 14 54
10 35 86
9 34 63
27 33 72
25 9 97
10 3 81
53 41 52
20 23 55
56 32 92
47 56 55
58 43 54
13 55 28
14 4 30
32 11 77
58 38 4
12 39 12
6 10 46
49 2 61
6 10 43
49 54 79
57 43 32
4 36 18
27 6 47
4 36 22
11 37 48
56 40 19
41 27 10
20 46 37
33 26 60
22 46 24
8 7 36
16 30 95
5 39 79
50 26 63
55 11 74
1 14 88
32 42 14
13 34 34
12 48 70
25 35 74
30 58 47
57 36 2
49 47 56
5 22 35
34 51 36
2 28 13
2 7 7
42 6 51
43 5 45
37 18 57
57 18 25
14 6 66
39 39 1
10 17 95
39 9 36
48 40 56
52 6 39
33 32 62
11 14 8
0 37 51
57 25 99
43 3 84
40 9 53
1 51 29
7 30 10
48 30 25
59 25 92
31 51 30
56 0 55
40 30 81
42 59 100
47 56 4
39 15 43
6 44 14
12 46 53
24 35 80
16 13 3
37 22 95
14 22 93
58 24 3
4 47 37
5 3 66
17 53 1
6 39 37
56 53 1
16 11 84
2 43 83
11 57 5
33 49 90
5 41 32
35 34 46
9 49 62
7 35 3
50 51 16
29 6 17
9 30 34
31 23 42
55 53 89
19 38 30
3 13 91
36 43 98
45 20 12
45 9 76
35 33 9
56 35 76
20 35 49
17 44 43
53 45 52
4 30 60
57 18 54
3 13 7
20 31 10
2 46 65
8 16 84
29 16 38
45 18 26
50 5 73
24 3 56
18 38 10
47 30 76
4 4 56
59 35 56
3 28 85
2 48 56
10 53 92
30 36 85
32 6 38
1 6 58
26 19 92
13 52 13
29 51 20
31 50 50
32 44 69
6 2 73
46 12 27
32 43 5
21 0 13
22 31 53
57 21 49
0 48 22
43 15 12
18 40 63
40 7 31
27 32 49
17 4 75
14 32 22
10 40 16
40 25 13
57 17 70
25 50 74
49 9 65
50 27 1
7 40 6
22 55 99
9 54 8
42 24 32
30 23 85
56 43 82
45 15 74
37 27 80
38 40 77
53 51 30
36 27 29
50 7 9
55 8 90
57 52 18
0 8 98
0 9 33
7 7 10
53 24 27
39 2 4
42 17 83
56 42 82
42 19 14
42 8 72
43 5 49
30 4 71
44 9 59
0 25 38
53 22 76
28 59 39
46 25 59
50 48 43
31 27 26
54 24 42
56 21 11
52 54 59
46 21 94
54 34 89
54 42 65
35 55 73
14 6 6
42 29 84
47 40 51
11 14 43
31 1 45
41 56 19
1 59 51
1 57 30
22 26 90
1 8 93
28 7 70
30 8 93
1 40 43
25 46 73
49 55 71
58 41 56
23 47 38
42 11 50
40 31 75
2 47 98
14 59 71
53 14 60
1 37 31
39 53 2
51 50 43
29 33 9
20 32 69
37 43 75
45 59 67
27 53 9
16 27 97
52 25 19
55 2 3
25 8 36
54 49 80
21 10 43
17 54 66
31 16 93
29 16 88
39 57 43
17 59 78
28 2 59
36 33 98
34 1 12
3 14 74
30 13 40
