100 200
15 8 89
97 10 1
19 78 21
65 55 7
76 79 35
98 9 19
2 31 95
48 91 83
24 24 71
71 16 29
23 40 17
35 57 19
17 33 99
62 65 95
20 14 6
66 67 81
26 82 83
56 95 31
4 34 95
48 31 38
86 16 91
48 97 11
41 55 62
4 5 92
11 19 23
28 37 26
25 33 49
1 71 92
35 79 54
78 76 11
90 92 38
31 76 64
32 18 28
92 42 24
36 41 10
25 59 97
32 24 80
1 4 90
81 56 36
99 53 55
27 14 14
12 70 75
4 93 15
25 74 63
18 10 20
41 4 58
55 36 95
33 59 24
29 28 100
7 2 49
24 0 96
99 16 89
24 8 77
11 99 65
44 74 68
43 0 91
57 72 38
74 66 79
45 80 51
40 94 74
81 11 18
36 22 99
32 62 98
97 16 82
48 9 69
53 21 88
23 41 98
11 6 44
4 83 88
41 91 19
60 29 4
96 76 16
86 9 17
70 97 42
24 6 57
21 88 9
45 52 4
39 15 3
62 76 78
87 95 40
48 94 89
66 71 30
8 14 86
69 11 34
2 61 42
33 20 51
26 34 20
40 68 64
71 42 51
3 26 12
74 39 28
46 29 49
90 47 5
12 7 99
30 50 65
48 3 6
29 69 51
40 95 77
19 99 16
66 59 87
40 20 94
66 12 96
96 79 37
16 10 15
21 55 79
36 0 86
34 42 84
52 35 46
27 66 64
18 62 14
48 17 39
76 89 56
85 75 38
30 12 72
25 60 50
52 41 80
74 88 37
6 43 28
61 13 16
93 88 36
9 94 32
88 5 89
87 10 47
37 67 14
78 62 30
76 37 90
40 24 68
88 36 6
88 66 99
96 23 28
63 53 82
73 19 45
21 30 84
41 27 29
81 78 45
32 12 33
49 84 58
65 36 1
10 82 63
91 45 34
3 89 26
85 78 59
87 39 4
92 73 78
62 59 78
34 66 14
40 14 43
86 18 16
38 85 71
5 90 46
45 45 95
82 85 46
49 92 9
18 80 3
20 18 18
65 76 93
24 71 100
9 70 30
22 81 93
93 75 92
20 90 45
10 11 77
12 25 95
37 38 53
31 81 77
19 7 78
6 32 29
48 98 66
38 53 76
85 61 17
96 95 32
8 82 45
89 68 80
60 51 20
82 88 2
72 48 35
65 41 74
44 53 85
74 97 63
13 47 47
10 75 49
26 16 42
45 57 73
94 59 10
21 25 46
52 67 19
38 73 9
31 3 89
44 8 74
50 3 28
53 89 64
83 68 76
71 98 47
30 13 94
74 34 73
14 57 24
35 40 30
86 58 45
99 1 16
72 57 87
