30 150
0 11 31
0 1 90
17 15 69
7 10 35
10 7 86
17 5 40
5 1 48
7 27 57
13 29 50
8 23 99
25 4 1
14 27 66
4 9 77
13 26 77
22 9 97
22 25 13
18 18 13
12 21 77
0 3 24
25 2 50
27 26 25
9 14 5
29 19 95
28 28 86
6 7 36
4 26 5
11 23 99
18 12 61
0 23 68
0 22 77
28 13 34
25 23 50
5 2 7
6 28 47
14 0 39
9 5 92
25 22 78
21 2 51
23 9 93
21 21 25
8 5 96
18 28 93
17 5 69
9 1 15
22 12 95
24 19 54
13 6 86
22 11 50
26 0 1
27 21 22
21 3 99
15 3 6
14 12 100
24 12 94
14 22 97
15 15 24
3 24 1
5 1 49
3 14 45
9 22 7
3 28 21
7 21 32
7 1 49
24 23 97
2 25 95
0 22 96
8 16 86
28 9 84
15 29 18
21 7 52
28 13 83
13 17 10
3 0 1
9 2 15
18 4 96
23 25 51
26 29 66
8 20 46
1 26 44
29 20 25
1 28 4
11 21 12
27 10 53
22 15 22
0 11 97
19 8 6
7 10 17
3 8 29
24 11 94
12 20 39
20 21 6
3 9 34
22 7 24
10 24 71
28 7 10
7 28 9
16 11 54
0 17 53
27 0 75
24 3 63
11 1 3
25 15 3
6 6 100
15 8 33
14 13 62
22 4 13
27 0 54
12 1 85
6 27 24
28 6 6
19 3 3
2 16 5
14 19 77
22 0 84
4 18 96
20 5 45
19 4 23
16 15 17
8 8 71
18 6 71
20 19 12
18 24 40
2 16 14
29 0 64
1 17 35
4 8 40
25 3 59
19 1 50
26 5 67
5 5 30
15 11 100
13 3 44
5 29 12
5 6 91
28 18 74
10 21 73
23 6 4
18 24 18
14 28 28
2 13 55
1 5 13
16 27 2
19 18 49
22 29 83
24 29 2
19 7 17
9 27 72
13 15 61
20 10 15
6 14 35
