40 200
14 2 24
4 26 67
6 19 20
39 22 10
7 15 69
19 23 93
3 10 32
14 19 22
10 13 86
13 39 6
38 34 27
9 6 24
24 13 5
6 1 16
12 39 75
20 39 63
32 17 1
0 36 83
17 3 29
14 10 13
9 16 2
20 39 65
22 39 24
19 31 87
1 0 46
36 29 81
15 27 54
36 31 76
33 25 43
29 39 97
19 23 18
18 34 67
10 35 48
11 19 14
33 23 16
35 37 3
23 7 28
14 10 28
38 33 94
1 12 6
19 8 35
32 4 98
24 29 70
22 37 2
11 17 70
10 30 40
32 33 11
2 24 53
3 1 11
1 24 39
37 30 51
26 25 13
37 15 4
4 19 87
14 17 97
6 2 9
32 19 93
23 34 49
23 38 92
31 36 25
31 14 19
29 14 16
20 4 27
20 6 86
13 15 29
3 21 70
24 9 82
35 37 3
10 35 93
19 4 85
7 13 38
7 2 30
19 39 61
25 3 34
33 14 28
30 23 46
36 1 22
26 14 4
2 0 21
15 6 84
23 29 16
3 27 78
17 31 93
28 32 15
31 29 87
29 6 65
5 16 9
3 3 3
19 27 67
38 16 99
23 32 28
2 6 25
36 14 4
39 28 82
39 3 74
4 33 41
34 4 39
36 38 38
21 11 44
22 29 39
3 18 84
32 18 18
29 12 3
39 7 92
32 7 4
6 35 21
21 6 82
1 13 99
1 16 97
34 22 3
6 20 23
27 17 53
7 21 93
9 25 47
0 31 69
24 23 76
16 34 5
19 29 70
16 34 64
11 12 18
25 32 69
12 26 56
10 22 46
18 20 89
8 9 40
0 14 79
39 36 89
29 10 54
3 3 41
25 19 63
29 1 69
10 10 89
28 29 48
3 25 50
36 26 19
35 25 7
16 21 51
14 2 43
29 9 68
17 6 37
28 15 31
34 38 30
32 6 46
29 16 16
30 35 75
15 27 34
31 19 80
16 39 22
6 0 79
0 7 51
20 22 12
6 10 59
8 26 35
36 26 99
3 5 33
31 39 5
20 37 47
31 34 50
3 1 51
29 38 79
11 27 72
23 9 68
35 12 57
38 4 75
39 18 81
7 33 21
22 17 70
2 22 29
17 32 2
3 24 30
29 9 3
27 39 83
13 6 1
32 9 60
2 34 89
35 32 58
24 16 20
39 0 71
22 36 11
17 8 77
31 23 26
37 34 11
33 35 99
28 2 53
30 34 45
23 28 27
11 25 44
17 35 39
30 16 60
22 23 39
3 24 62
24 6 31
17 31 49
6 25 45
11 21 1
9 12 99
39 32 99
5 21 65
36 28 11
32 38 67
