1000 5000
934 175 30
200 416 95
71 40 22
419 929 39
914 678 20
239 834 57
740 353 26
707 996 80
233 387 93
801 429 76
605 581 34
436 411 32
481 455 67
863 688 16
156 773 77
569 622 29
187 60 69
219 382 19
418 501 25
793 156 47
547 741 49
139 533 96
375 168 67
48 851 65
859 734 32
942 256 66
227 149 12
900 291 90
529 864 30
532 835 39
157 85 87
865 261 2
965 35 51
162 611 88
949 892 96
918 244 48
996 349 25
976 567 42
9 704 43
768 763 72
741 324 99
12 407 43
519 796 99
902 189 16
658 442 38
535 241 76
388 681 52
502 722 13
852 492 20
57 327 4
505 53 100
125 202 31
540 581 75
367 891 65
469 525 94
209 721 28
324 805 89
161 712 34
615 17 52
742 403 44
377 970 1
601 442 3
731 630 40
572 528 7
158 1 99
309 356 8
621 373 25
100 629 94
318 821 9
992 183 36
647 466 35
91 497 24
591 359 72
33 643 17
226 309 43
290 108 37
167 421 76
528 343 56
812 934 91
236 635 28
687 830 56
93 38 53
27 14 68
825 373 2
102 567 71
366 788 14
341 769 16
367 304 82
278 36 46
61 29 80
934 904 73
604 422 1
662 707 54
337 249 86
174 710 91
41 34 17
979 316 34
682 986 25
942 968 80
711 12 17
560 89 28
127 766 22
811 648 79
193 250 3
826 240 53
158 799 54
631 112 6
905 183 57
333 731 58
472 202 29
419 877 27
848 457 89
616 851 56
204 664 74
938 768 77
834 758 34
107 433 95
870 947 10
271 725 83
897 474 61
826 154 17
564 322 49
454 101 34
513 251 66
351 786 37
555 268 95
638 874 84
956 371 32
151 65 77
864 535 4
454 187 92
54 401 6
622 733 54
994 837 3
872 886 61
271 822 99
52 895 71
339 725 94
812 901 61
552 347 31
562 493 69
329 31 29
518 850 79
331 972 55
235 17 21
570 876 73
972 743 90
448 241 10
314 367 92
628 631 90
856 510 56
815 670 25
852 69 51
662 256 33
615 705 5
288 788 19
131 427 89
438 574 17
963 31 13
281 613 23
521 36 100
771 534 64
633 726 100
268 763 60
869 935 23
257 590 59
826 454 23
279 115 79
757 32 38
493 781 24
909 833 76
437 946 1
658 379 48
743 14 34
331 425 97
345 56 62
314 471 28
842 524 65
748 584 74
872 332 71
315 623 11
214 20 37
669 813 4
9 579 53
317 942 66
197 97 20
617 137 75
621 882 19
110 679 84
292 208 42
800 808 68
57 633 51
766 597 83
968 590 11
572 892 59
734 136 66
249 754 41
420 130 1
975 861 24
817 586 77
309 620 45
677 910 98
478 339 88
846 109 80
438 489 94
45 902 63
393 937 13
2 752 75
296 937 73
522 327 91
120 696 78
45 162 61
681 128 38
516 873 55
127 235 30
518 579 55
973 425 99
46 173 100
768 637 96
674 63 63
979 127 73
406 46 51
148 884 85
220 376 7
768 832 56
774 919 4
503 670 10
192 281 29
196 140 34
717 65 85
161 622 92
946 668 18
483 433 24
655 353 53
909 909 55
777 769 56
133 575 36
470 203 15
509 341 54
125 109 37
544 612 53
425 674 86
943 449 39
784 122 75
813 847 26
927 564 93
674 740 72
854 421 99
137 916 54
94 743 97
718 915 97
671 768 10
186 816 52
584 163 27
932 762 94
112 714 84
718 629 80
229 658 84
653 425 41
363 236 15
999 618 50
617 488 23
92 422 38
952 330 95
183 793 33
933 410 2
374 427 72
413 50 6
931 303 75
8 542 85
141 313 75
744 908 91
913 469 75
58 246 62
268 12 1
609 558 79
829 687 72
660 963 8
475 785 71
323 49 91
741 897 16
244 730 88
709 562 29
494 919 16
355 609 17
317 718 82
967 432 44
76 289 52
572 163 67
21 936 34
768 757 88
121 741 3
275 752 83
149 965 21
77 87 45
356 731 23
487 916 91
976 888 52
29 253 99
1 404 64
227 945 48
871 16 24
526 56 88
650 978 4
881 476 9
831 151 63
777 394 69
442 306 71
933 25 54
339 115 72
140 566 70
805 848 6
386 357 88
534 44 86
807 859 28
231 581 3
387 270 70
266 987 18
401 584 82
73 559 30
692 770 67
906 445 11
751 667 47
481 173 36
812 59 35
781 959 23
354 554 80
547 958 46
452 759 23
303 228 23
0 601 60
604 213 20
139 185 23
296 14 63
876 303 57
274 622 89
385 577 100
406 33 95
604 691 67
197 246 14
840 274 9
825 604 17
174 500 49
355 317 20
370 780 2
180 387 29
443 692 40
946 802 16
999 677 99
622 756 37
564 829 13
430 839 86
212 541 49
0 635 63
8 292 54
598 939 42
357 610 55
677 405 62
892 242 47
43 216 91
568 777 86
544 238 89
702 209 47
631 621 4
286 573 31
820 239 46
744 824 65
261 380 45
930 690 86
908 25 87
695 238 43
523 968 53
628 679 67
452 535 73
915 878 66
60 698 41
340 178 82
66 76 96
965 2 1
480 722 70
