100 200
76 49 76
10 50 42
39 88 57
50 17 16
4 65 93
25 53 33
47 59 28
89 63 64
50 75 46
20 54 96
95 19 46
89 13 79
40 14 90
95 0 83
87 23 50
32 25 19
17 93 77
75 35 10
45 44 75
97 26 3
57 61 53
85 37 59
13 43 100
25 42 36
55 79 50
22 76 83
13 33 16
40 81 71
91 21 61
33 39 95
99 39 97
13 19 40
21 50 100
48 47 15
40 36 69
23 87 7
23 87 77
80 75 69
78 38 68
87 90 15
6 70 81
19 13 36
19 44 5
79 87 73
5 18 56
14 72 24
47 80 31
9 99 7
56 9 84
11 77 88
88 15 76
68 38 16
48 66 62
7 40 100
67 33 1
3 49 39
50 49 27
0 55 44
68 56 44
52 20 32
17 74 32
90 25 59
44 91 87
10 72 45
82 82 31
92 59 72
61 68 43
55 27 32
8 90 33
11 10 81
55 55 30
93 32 67
11 78 67
54 13 1
54 2 21
52 53 51
64 98 34
56 81 87
5 19 78
32 92 33
18 53 30
15 27 42
99 38 70
93 1 51
72 63 92
43 91 3
61 42 65
82 8 24
99 26 46
21 6 7
21 2 73
62 41 31
35 35 10
14 22 82
10 61 61
20 40 24
94 77 59
5 77 98
54 94 75
23 78 82
67 98 85
0 22 31
10 95 35
38 54 83
40 22 20
21 43 6
29 58 52
0 49 39
97 15 38
52 73 14
28 36 68
85 27 37
46 44 71
45 40 72
29 55 75
26 36 98
49 96 48
0 39 7
18 69 35
66 84 59
93 10 74
89 94 6
92 14 14
87 90 59
27 40 6
49 4 8
15 31 60
41 37 58
87 80 83
17 13 74
9 25 57
8 9 100
34 94 95
65 0 42
42 99 22
90 5 59
26 94 96
31 68 70
98 47 47
66 10 6
54 71 27
49 25 26
16 28 80
53 44 50
27 36 89
23 67 35
21 8 51
16 40 27
34 27 76
54 11 7
13 97 94
18 11 69
31 27 100
86 23 36
78 66 93
95 14 97
23 19 53
58 50 13
76 30 42
68 3 59
97 92 6
95 7 58
47 87 39
46 86 69
12 37 53
50 41 57
74 73 85
28 94 5
61 22 84
75 92 39
64 38 90
98 87 78
21 62 78
17 5 16
1 6 3
9 97 18
21 90 90
23 88 25
64 94 38
52 6 100
62 62 9
35 30 17
64 5 9
22 66 51
67 23 70
99 18 99
27 76 58
29 57 63
68 3 92
54 48 58
9 4 99
51 84 82
50 39 51
31 55 13
25 40 27
58 38 76
26 66 71
37 56 43
3 44 20
5 34 63
