30 150
14 19 29
0 29 89
2 15 54
17 22 75
13 14 83
24 25 56
27 23 13
8 28 46
26 24 47
22 13 82
5 16 31
6 10 14
6 13 54
12 11 89
11 9 42
6 13 93
16 4 7
16 17 11
1 25 58
12 13 43
4 19 76
14 1 75
12 21 63
3 9 94
11 11 22
5 8 63
17 27 97
25 10 59
6 6 84
11 2 74
7 3 45
14 4 78
9 28 92
21 8 13
14 19 36
1 12 13
2 1 15
18 10 7
19 9 11
23 24 44
20 22 60
8 15 68
29 25 1
18 16 25
6 27 19
14 26 54
21 14 23
15 20 39
15 27 80
20 1 58
0 4 18
12 7 49
10 20 70
4 3 38
1 10 11
26 9 1
17 21 28
1 23 40
13 15 34
6 5 52
3 18 81
4 21 92
14 14 45
29 11 47
10 11 82
20 13 56
19 21 51
13 23 34
9 28 10
15 25 71
26 7 95
20 24 47
3 23 74
14 19 16
0 11 67
15 26 54
26 26 27
23 27 64
21 3 25
21 14 67
5 0 43
29 12 39
4 22 45
8 15 45
12 4 16
5 2 77
13 16 63
26 1 73
22 0 97
14 2 76
18 16 48
19 12 44
26 14 83
28 18 96
10 26 7
16 29 46
3 9 48
4 10 43
7 9 92
22 23 85
7 29 87
12 19 36
13 0 76
22 21 28
19 29 87
15 10 56
28 26 71
27 2 82
4 1 29
18 16 31
8 16 82
10 6 69
1 10 81
22 28 6
4 23 43
20 15 20
12 19 95
28 10 81
6 17 77
14 13 28
22 9 58
24 24 64
14 22 58
16 1 52
16 8 58
0 26 80
18 7 13
24 17 61
24 23 65
22 3 80
4 4 33
3 15 54
3 3 20
5 22 71
11 13 37
27 19 71
22 0 2
26 19 54
15 5 86
11 15 69
28 24 25
1 2 2
13 19 53
11 4 22
26 0 29
24 3 17
16 0 85
4 8 5
17 18 79
1 15 13
