30 150
22 1 79
24 11 93
3 23 57
8 11 72
11 8 36
0 25 30
19 24 96
25 2 100
2 12 14
29 28 36
7 6 19
15 6 6
7 21 45
27 27 62
11 3 9
16 29 37
3 29 20
3 28 32
22 13 75
6 3 11
14 18 97
22 4 81
27 13 15
28 10 50
27 23 38
9 29 42
28 20 3
2 28 13
6 12 54
11 2 97
28 7 33
9 14 49
0 7 22
10 15 42
8 16 51
13 2 63
2 9 12
4 23 34
16 16 43
20 22 92
5 14 55
18 7 1
28 16 10
16 7 23
22 17 24
5 8 52
16 20 77
3 0 45
19 8 51
1 27 31
16 23 81
1 12 56
7 5 23
9 16 55
20 8 42
11 16 53
9 15 12
0 9 31
23 21 68
26 20 84
22 3 39
7 18 90
10 19 36
0 28 40
24 7 20
21 3 10
18 7 6
26 20 37
12 9 2
4 16 54
29 15 42
10 11 2
2 24 86
27 19 40
12 0 16
12 0 78
25 1 63
17 28 79
21 17 58
12 7 99
9 21 29
3 27 41
17 1 7
5 23 65
7 17 21
17 22 7
1 2 10
27 22 91
8 3 30
3 14 83
3 2 96
7 7 11
5 22 48
6 22 82
7 2 69
28 15 38
7 25 80
13 12 66
17 21 40
28 11 85
24 10 83
18 5 85
10 1 51
23 11 99
24 10 91
5 1 80
22 4 14
6 17 27
11 1 48
21 18 17
14 28 18
21 27 95
24 20 56
16 19 47
24 13 80
10 9 20
0 5 99
16 14 22
5 26 48
0 27 63
8 10 94
15 1 93
16 7 65
7 6 99
21 5 22
13 19 47
22 19 20
26 14 12
1 14 53
5 23 34
11 21 6
8 11 81
3 19 74
24 12 33
12 0 33
14 29 47
14 1 62
23 15 51
27 20 19
11 17 30
22 19 9
27 15 41
16 0 55
4 15 41
23 25 93
4 22 75
11 22 34
25 24 42
16 10 99
10 5 57
