100 200
87 68 74
53 37 12
87 92 18
86 88 56
60 39 8
35 70 78
91 11 55
98 96 87
88 11 42
88 16 54
28 51 16
67 94 61
98 83 36
37 92 98
19 48 72
64 98 72
40 44 83
11 67 64
67 78 59
64 33 92
56 1 84
12 12 12
2 47 74
7 16 56
17 42 85
93 11 12
31 30 3
89 7 100
53 56 35
37 36 9
27 15 20
83 25 47
93 71 74
54 38 14
44 69 68
87 64 92
88 68 1
67 28 36
6 96 28
77 5 51
63 30 78
87 7 13
39 73 8
33 32 56
94 27 83
0 88 87
11 7 7
86 5 89
65 11 42
54 72 35
62 59 84
74 1 100
4 9 60
94 9 20
43 33 55
87 61 73
72 48 24
92 21 5
30 26 79
23 4 21
26 2 79
13 9 93
0 43 24
33 62 88
33 59 44
81 84 23
11 10 30
35 76 90
53 29 61
58 71 9
42 54 98
5 98 37
61 80 100
30 3 7
41 17 20
94 14 5
67 58 70
26 23 38
90 67 86
43 56 31
73 56 25
39 47 8
64 72 77
17 46 44
8 85 9
98 60 24
59 64 72
17 11 31
65 90 3
6 58 31
20 77 30
98 97 1
40 16 72
91 25 25
41 48 71
49 51 41
84 70 21
73 34 58
8 90 79
53 86 74
51 51 26
84 26 48
62 25 67
14 90 7
67 77 48
67 96 90
14 53 90
96 5 73
54 50 51
7 25 89
30 57 98
77 52 93
66 12 79
3 69 49
86 71 72
26 15 67
6 88 46
47 90 85
75 21 21
96 39 51
90 50 70
42 60 88
45 41 78
54 80 93
40 57 53
42 4 72
8 23 48
59 92 38
86 24 35
75 91 56
0 81 81
92 30 45
15 1 67
54 38 16
24 71 38
80 47 17
30 53 21
18 19 21
78 61 16
36 26 61
9 25 18
40 14 32
88 55 20
64 34 78
4 77 17
45 31 43
52 59 69
94 2 50
73 89 75
53 48 83
5 32 30
24 6 9
96 73 95
29 89 73
24 93 69
37 47 35
1 51 55
91 68 3
16 1 11
33 73 73
18 3 80
48 67 31
52 11 61
51 96 22
87 72 77
49 85 74
65 95 2
24 56 52
70 20 19
65 40 33
28 61 20
17 69 62
27 38 58
26 94 72
55 81 84
43 57 100
21 47 81
91 24 98
0 48 95
78 3 92
76 87 40
39 76 68
47 52 86
46 37 48
87 0 84
12 12 13
23 27 45
49 13 2
61 9 82
17 84 39
69 74 54
63 12 57
65 54 92
27 31 81
64 73 53
33 83 16
48 95 49
68 47 43
96 57 87
41 23 17
