500 2500
187 424 8
48 41 64
208 74 59
288 413 79
383 279 50
441 287 21
344 305 44
397 330 45
49 306 5
324 141 46
3 409 81
405 429 3
55 350 68
283 349 73
489 279 43
159 457 17
54 384 42
265 291 28
435 382 93
306 380 93
46 179 84
419 397 21
427 196 9
452 310 39
489 401 99
219 311 22
85 198 71
200 166 12
366 41 22
457 211 53
254 313 92
187 355 42
350 485 83
113 444 22
223 3 47
214 178 71
72 70 72
179 130 26
217 154 86
178 238 25
19 91 58
54 288 31
439 468 31
401 322 49
342 459 88
436 73 3
194 346 40
12 485 74
52 475 56
146 30 94
447 382 67
303 39 9
345 369 13
315 61 48
33 253 71
391 498 78
155 27 39
329 335 16
478 217 11
47 356 15
392 389 43
96 277 72
52 3 68
141 192 4
358 403 48
12 464 43
287 237 41
196 30 25
96 194 92
327 300 79
460 95 94
274 187 19
429 273 79
106 484 49
97 15 4
417 7 24
353 34 46
262 470 14
404 398 96
7 290 47
218 157 48
283 383 91
457 441 69
399 174 29
69 89 33
295 10 60
490 327 56
295 486 22
25 193 94
265 355 72
307 393 25
168 353 53
200 30 83
245 67 55
265 354 71
245 31 66
35 79 69
374 78 89
137 211 17
488 303 46
285 41 98
342 496 8
18 0 7
421 327 46
56 285 36
314 87 97
30 370 77
167 478 92
342 158 56
308 234 7
37 296 22
265 292 57
77 217 2
476 363 15
478 199 17
293 243 87
364 235 43
355 96 98
445 294 59
355 373 57
24 490 3
436 493 37
126 239 3
320 81 55
129 160 81
407 292 34
458 353 15
251 479 94
231 312 81
348 115 66
386 393 73
444 64 34
407 253 37
100 55 51
331 70 32
481 433 83
137 261 37
167 377 12
166 389 18
338 330 32
489 89 36
150 255 59
251 178 52
176 248 90
53 320 58
225 156 16
35 445 89
316 56 37
257 394 24
190 92 43
265 258 35
191 88 6
97 14 40
133 310 14
63 354 78
285 444 75
474 294 4
30 476 68
281 396 7
306 485 28
79 335 86
41 335 95
173 463 40
412 494 94
381 386 80
177 272 66
69 416 18
155 431 62
458 373 95
348 74 52
326 83 16
337 398 52
473 234 27
189 88 10
42 43 65
339 119 94
230 33 77
402 52 100
123 53 4
344 65 65
9 329 47
73 132 5
333 145 62
429 51 53
12 285 1
154 180 35
91 386 29
139 479 99
28 188 43
269 307 86
223 312 56
81 494 36
11 216 93
360 3 44
166 298 17
186 160 72
216 353 99
304 476 78
427 81 33
157 437 57
301 183 74
491 402 91
105 175 9
4 211 10
161 255 2
171 432 28
64 306 27
191 391 29
62 233 76
228 267 59
315 233 22
488 449 63
205 469 66
485 435 38
79 56 98
403 0 56
337 157 65
378 380 43
412 249 34
85 419 2
455 313 52
248 468 3
348 400 21
229 102 66
397 202 1
444 33 91
56 254 56
395 213 67
412 373 15
205 214 47
309 407 37
396 120 71
317 142 23
489 281 95
141 167 78
250 66 78
395 180 26
177 312 71
25 297 17
78 313 29
456 230 36
498 348 24
195 492 39
84 262 66
254 409 74
284 355 76
408 406 41
198 128 82
196 152 17
168 182 97
83 398 38
319 256 17
113 125 56
237 410 22
52 248 26
382 87 6
162 21 4
157 373 1
319 214 46
189 363 57
161 185 49
146 299 18
420 472 41
27 204 43
490 150 81
434 409 58
172 492 12
173 377 17
74 214 31
455 418 56
333 279 83
155 124 23
489 95 32
231 50 1
203 147 22
416 281 28
318 352 89
246 140 91
155 163 38
354 257 42
283 121 44
232 187 26
96 253 10
20 358 12
368 317 3
156 49 26
326 70 42
55 291 8
301 77 20
145 178 84
352 108 11
36 244 90
376 81 98
248 107 46
460 198 26
360 156 76
229 343 71
497 358 14
247 116 55
380 376 39
254 57 96
304 324 61
318 124 37
433 131 38
263 235 39
171 463 24
35 155 6
419 191 26
95 102 68
443 262 29
264 411 42
24 217 40
90 462 13
199 222 75
324 326 31
221 299 49
316 43 54
442 146 31
129 91 86
207 316 47
260 168 16
318 336 53
221 487 41
219 298 4
152 128 65
301 497 88
364 437 83
80 198 74
401 64 6
342 436 15
131 243 78
36 498 22
200 57 84
469 234 85
274 226 68
423 223 24
452 39 7
389 126 6
38 113 44
393 84 33
249 492 85
450 44 49
138 149 21
187 307 78
138 327 37
303 58 28
7 46 19
11 407 11
487 462 88
25 34 52
11 158 84
441 61 32
419 168 55
78 462 83
322 102 13
155 443 36
349 450 44
67 393 92
32 373 18
90 441 5
124 267 97
124 427 45
162 145 35
242 67 96
396 141 87
348 482 38
164 260 44
484 10 73
368 312 51
456 129 97
483 16 12
342 270 12
430 71 51
19 409 27
225 169 90
60 15 30
169 23 79
154 432 5
400 125 63
319 407 81
152 270 16
306 428 45
25 354 58
444 475 3
188 128 42
183 205 17
397 235 67
363 493 16
248 469 96
372 238 44
356 63 100
383 320 14
236 440 27
13 458 86
309 258 90
242 203 36
326 361 30
107 86 79
70 67 5
348 346 30
388 64 49
361 191 42
267 116 11
389 244 37
121 326 11
401 36 31
402 91 32
53 298 14
419 495 10
168 18 95
7 183 90
354 477 80
442 225 10
370 83 71
379 438 87
285 116 77
28 393 70
97 217 85
390 431 43
487 84 13
486 7 70
25 384 47
117 463 91
126 310 71
5 148 52
456 27 10
92 121 16
68 411 78
25 340 24
371 255 98
145 248 13
180 309 58
229 9 86
399 457 45
185 264 73
73 342 33
427 387 72
277 355 99
190 159 12
233 391 34
211 54 7
257 332 75
484 343 44
243 189 22
475 331 92
320 150 71
111 492 1
207 137 88
96 356 29
81 383 70
28 342 66
444 201 21
233 283 47
119 242 56
326 496 7
247 177 11
205 490 25
40 175 51
297 202 32
17 289 45
436 168 78
76 17 56
15 489 88
255 407 79
309 179 83
244 356 83
345 453 73
402 397 45
309 110 41
288 452 65
442 145 21
42 279 84
32 183 22
47 39 21
344 463 95
69 329 76
181 242 40
243 482 88
50 104 74
286 322 51
78 168 16
108 467 54
437 353 2
492 208 42
489 319 55
59 14 7
223 475 22
285 489 31
34 157 28
7 115 80
261 372 63
205 289 83
68 90 82
428 174 77
381 469 36
136 99 65
8 260 23
441 78 37
495 479 3
310 299 9
362 270 35
466 311 45
447 54 18
114 19 15
116 412 29
152 4 4
174 42 67
427 27 98
393 301 77
461 76 24
147 429 63
99 364 93
140 365 80
484 155 9
224 67 25
332 486 36
288 8 22
299 278 33
209 409 61
206 346 52
426 301 16
438 258 35
151 80 94
398 403 20
80 445 70
165 278 19
208 438 37
95 149 14
271 261 79
311 305 36
94 118 57
70 62 79
362 201 56
401 72 5
0 158 65
46 448 31
224 402 33
49 274 93
167 284 67
232 453 20
4 397 33
280 193 75
109 90 36
318 177 6
282 426 47
476 231 6
145 216 3
133 104 90
265 338 33
485 418 93
438 371 78
438 251 98
478 78 23
291 283 29
244 358 18
157 43 50
468 457 76
135 38 44
189 174 54
139 128 68
309 231 23
203 285 1
409 258 90
326 57 49
425 430 32
68 371 50
4 273 14
406 5 67
137 236 19
156 244 34
183 420 29
147 164 91
41 99 23
40 51 63
278 199 71
462 274 72
402 387 92
269 102 75
322 191 87
385 132 47
46 301 58
143 263 96
137 453 94
395 22 68
363 379 67
169 156 33
447 124 98
383 481 55
401 467 90
406 153 89
424 35 92
205 9 6
291 419 3
62 259 99
434 354 89
61 55 74
146 223 16
333 79 78
302 289 31
182 183 77
20 174 58
480 133 73
297 196 24
325 353 9
292 278 22
78 434 74
292 146 68
479 287 76
134 88 88
303 107 82
386 458 44
455 422 83
405 2 69
355 231 31
21 421 76
172 278 35
268 259 32
290 167 22
148 273 23
131 456 24
299 49 50
137 34 81
305 408 61
106 488 67
488 94 79
318 319 76
239 461 36
179 236 43
318 408 23
19 190 92
308 19 88
481 312 80
68 127 8
79 188 24
71 397 55
160 311 55
135 360 82
127 139 36
292 145 25
461 293 45
131 220 74
149 319 71
123 194 58
13 137 84
460 202 99
168 183 45
425 273 53
405 129 95
29 148 13
443 300 30
480 352 14
480 18 71
100 305 100
22 445 58
187 290 34
9 283 58
344 287 55
342 322 24
418 347 81
87 42 94
479 363 7
360 372 59
255 483 96
436 427 98
43 312 55
147 413 60
351 146 27
83 322 90
141 66 86
346 325 23
176 211 75
239 137 75
394 45 70
131 234 89
255 408 74
57 88 5
200 9 78
473 444 84
384 288 28
91 147 45
356 198 13
379 129 41
482 119 36
74 472 5
458 332 8
62 132 75
249 254 2
301 483 70
253 247 61
164 84 70
105 284 56
435 73 35
177 306 59
283 131 97
69 431 64
252 343 19
149 258 61
89 469 23
458 467 64
147 483 83
73 221 6
235 273 88
146 321 27
190 226 95
226 76 95
255 235 61
87 440 95
47 377 67
476 166 91
10 25 20
386 179 45
133 275 81
250 141 20
17 259 67
108 455 84
461 378 9
183 28 49
399 286 58
417 406 91
62 79 2
19 26 47
482 355 25
398 290 96
32 301 23
490 110 37
442 328 95
41 68 99
381 172 54
164 451 86
427 356 34
210 9 47
90 334 64
415 219 71
221 457 16
123 141 41
358 351 28
488 331 92
206 381 47
235 21 62
212 475 86
359 261 8
483 321 90
369 399 14
103 89 11
112 108 61
417 206 43
150 225 24
397 7 78
3 352 63
382 409 49
482 173 95
176 478 63
316 375 40
63 208 14
38 190 16
467 275 69
474 318 80
133 421 54
130 93 77
117 481 8
381 136 99
134 125 83
58 104 61
283 297 85
314 487 55
419 190 35
484 67 87
458 109 94
268 352 79
407 259 6
328 438 12
57 462 32
290 391 43
373 148 14
159 403 92
317 244 80
89 155 11
38 264 8
119 283 41
26 337 30
425 424 51
157 493 3
98 455 22
74 413 69
21 157 39
31 7 57
28 254 44
457 138 68
439 278 44
69 172 62
189 268 78
210 420 18
106 189 81
392 428 10
324 234 60
10 289 66
384 368 51
100 140 29
119 44 10
162 9 42
338 335 4
243 185 59
467 231 71
126 117 18
242 401 42
464 355 35
288 380 66
26 172 85
108 496 25
407 56 18
392 482 63
24 184 61
294 58 27
452 269 77
123 404 74
95 162 27
386 463 79
277 476 88
491 338 35
462 128 70
345 311 17
11 149 12
443 453 78
494 76 11
317 445 41
70 402 86
289 186 57
477 416 26
297 186 5
313 331 98
329 222 5
385 244 39
232 283 89
136 427 87
442 373 9
125 223 49
198 156 84
168 248 96
62 381 11
261 368 51
444 111 15
354 66 8
88 131 79
408 259 50
286 178 19
17 493 77
429 423 89
48 357 8
255 47 25
428 369 97
270 61 82
38 351 85
220 311 37
481 13 18
401 306 87
1 366 46
43 475 77
291 192 3
169 423 69
127 453 36
307 297 72
282 329 51
202 128 85
188 280 22
131 488 65
22 187 85
403 486 81
200 466 31
359 434 52
450 292 90
151 84 3
482 476 67
4 282 30
349 104 35
265 406 88
194 308 64
305 162 70
293 499 83
67 207 88
