40 200
25 30 26
13 29 33
3 36 53
4 23 30
5 30 44
10 3 15
33 23 58
34 23 75
32 22 71
37 6 33
22 31 100
6 16 85
16 38 44
14 4 69
36 7 33
27 2 89
15 35 43
4 36 19
15 7 26
18 19 17
12 13 50
7 26 83
22 6 80
25 29 72
34 14 61
14 36 25
14 39 66
38 24 86
11 31 18
26 7 59
2 32 81
8 33 15
10 17 29
1 3 99
24 16 65
8 13 56
20 34 34
22 35 55
15 14 72
18 8 26
26 18 87
13 8 29
13 29 34
30 11 34
21 3 49
38 21 21
22 10 17
16 6 70
20 32 4
5 11 30
10 9 91
25 39 98
8 23 90
35 18 9
27 11 46
9 3 81
4 23 34
12 27 89
24 22 73
0 30 6
25 16 51
25 21 69
33 15 48
21 35 41
32 39 14
37 14 33
25 6 70
21 1 42
24 12 56
34 11 32
25 16 18
5 6 72
32 11 63
22 32 74
5 36 93
18 5 67
12 38 65
16 5 83
21 5 75
11 36 90
24 37 60
26 23 20
34 36 77
20 26 18
4 33 88
8 2 10
39 33 90
3 2 73
13 18 26
1 26 7
37 33 14
8 25 63
35 19 97
36 31 37
3 38 40
30 16 73
31 37 7
28 29 44
12 32 83
17 36 55
12 7 48
34 0 90
2 4 68
1 13 77
25 13 23
13 28 80
18 2 52
19 28 36
9 30 61
37 1 78
23 16 17
21 16 34
2 0 26
7 26 58
28 23 64
23 7 62
32 38 5
1 26 38
38 27 2
21 12 68
22 35 74
27 35 91
36 0 78
27 23 67
36 33 31
38 16 92
31 5 77
34 7 44
14 16 19
7 5 87
27 9 98
15 31 66
18 0 49
21 8 71
1 38 51
27 17 51
26 31 83
30 23 61
31 34 74
20 0 12
21 17 13
16 17 28
38 1 46
6 10 25
22 12 39
5 34 89
30 12 28
8 8 20
12 31 79
20 20 14
33 13 1
29 35 93
28 32 83
18 23 87
3 37 42
11 14 13
26 1 62
3 9 100
38 14 34
20 14 82
37 9 58
27 13 26
9 18 42
22 9 10
7 26 89
1 22 92
20 35 76
35 32 45
19 13 12
1 2 69
14 11 46
1 33 48
25 22 90
16 1 21
6 29 95
20 17 85
35 8 78
28 37 55
17 33 11
34 15 67
23 33 94
33 3 47
3 10 60
38 38 22
30 15 57
22 26 60
31 15 60
26 38 58
5 30 40
11 30 49
29 18 1
34 28 55
35 30 63
13 9 35
37 18 79
16 37 20
25 35 7
22 17 12
38 9 57
32 21 33
