500 2500
215 363 28
381 231 63
339 317 21
165 452 26
403 482 7
6 189 42
5 380 9
460 446 94
320 176 55
450 430 4
1 323 12
366 159 37
116 449 88
490 122 40
477 194 21
285 34 22
168 369 18
314 255 24
214 95 10
72 167 51
447 0 74
146 52 61
468 55 52
39 319 100
370 344 22
456 246 30
38 411 79
345 58 89
411 422 21
210 417 66
208 8 100
113 452 84
441 366 85
345 192 24
169 114 49
360 207 34
405 189 85
296 8 5
306 418 86
196 181 59
198 90 88
442 338 74
409 444 67
71 258 12
187 48 69
274 34 25
181 94 49
148 77 84
83 141 59
70 313 9
117 269 78
227 353 66
160 161 41
326 309 71
32 129 34
125 379 67
165 234 24
301 370 23
418 346 77
227 117 44
198 397 17
96 477 10
2 58 55
373 279 67
285 336 54
248 243 75
171 328 61
0 425 95
279 89 11
190 251 3
95 340 55
134 117 96
420 184 33
397 305 64
201 138 45
152 93 56
362 114 89
469 94 20
487 36 64
76 352 73
413 163 64
112 335 6
157 381 36
168 236 25
152 491 6
296 301 67
191 318 57
73 487 20
97 388 88
354 68 21
359 437 53
78 17 65
23 138 7
492 489 75
221 135 25
179 145 16
300 86 84
314 21 30
167 343 81
142 264 37
45 54 48
435 88 16
359 421 76
174 481 47
65 15 20
313 367 21
408 214 82
400 208 37
368 347 97
107 451 7
369 401 78
254 455 90
19 483 68
259 447 98
320 189 48
261 387 77
267 425 92
55 168 74
438 356 12
299 484 82
78 216 33
341 209 48
428 432 28
404 186 38
421 258 76
52 453 64
97 154 34
1 7 42
456 125 16
355 319 67
384 471 50
386 6 95
52 187 79
463 401 29
331 280 72
435 469 51
102 349 94
477 289 39
22 408 36
244 213 14
451 273 50
110 433 36
444 461 37
173 114 85
128 181 56
173 381 78
49 90 95
96 267 14
241 95 24
267 365 55
413 339 57
381 164 87
32 357 35
428 10 100
118 308 36
379 50 1
407 204 85
278 371 25
185 336 49
278 337 45
211 442 27
392 361 87
158 406 5
92 264 19
72 47 55
240 304 36
426 172 15
323 52 12
454 422 25
299 143 91
94 116 32
266 127 3
58 125 81
385 14 24
448 498 58
59 119 4
64 233 95
118 162 96
69 387 97
484 66 44
210 294 47
181 347 33
451 453 76
368 252 81
213 377 63
158 435 81
357 115 13
274 420 38
433 287 38
145 247 12
74 63 10
85 68 85
434 90 47
120 5 41
3 224 27
473 325 25
166 309 58
467 64 16
49 486 31
2 125 78
283 224 65
263 224 29
178 32 99
427 264 45
163 175 78
99 318 4
228 166 28
162 368 15
50 6 21
58 458 59
160 248 22
372 94 20
152 303 56
188 58 53
31 362 67
115 155 59
118 37 79
492 429 63
53 292 86
34 144 29
291 223 60
237 150 50
223 5 52
76 361 52
42 208 11
484 126 17
491 77 50
67 14 27
163 159 52
130 442 10
368 115 41
453 366 80
256 470 14
485 233 13
451 173 3
463 374 13
242 346 55
115 399 10
381 344 35
228 476 90
343 348 94
370 337 64
8 497 19
401 128 87
480 77 75
105 77 21
262 280 68
277 195 32
24 385 83
121 321 68
201 173 30
60 67 6
492 126 73
130 76 80
213 159 61
77 472 29
78 406 46
35 110 1
208 232 89
318 20 61
48 263 21
426 5 96
266 116 7
45 174 32
124 27 74
142 389 41
244 9 75
449 449 54
308 33 10
377 71 13
340 267 82
261 167 19
176 461 62
311 306 28
136 316 16
42 340 90
497 77 41
384 257 28
486 322 96
211 115 8
396 374 63
76 299 46
496 61 89
398 148 53
55 277 20
248 383 1
335 81 71
257 489 75
37 354 10
411 358 51
119 146 16
70 265 42
367 240 67
131 409 40
4 221 29
